Dim,Method,Value,Time
16,"tabu_swap_neighbors, local_search, make_change_swap",560,1.55
16,"tabu_swap_neighbors, local_search, make_change_scramble",560,1.89
16,"tabu_swap_neighbors, local_search, make_change_inverse",575,1.6
16,"tabu_swap_neighbors, simulated_annealing, make_change_swap",560,1.6
16,"tabu_swap_neighbors, simulated_annealing, make_change_scramble",560,1.93
16,"tabu_swap_neighbors, simulated_annealing, make_change_inverse",560,1.66
16,"tabu_inverse, local_search, make_change_swap",560,1.6
16,"tabu_inverse, local_search, make_change_scramble",560,1.88
16,"tabu_inverse, local_search, make_change_inverse",560,1.63
16,"tabu_inverse, simulated_annealing, make_change_swap",560,1.64
16,"tabu_inverse, simulated_annealing, make_change_scramble",560,1.94
16,"tabu_inverse, simulated_annealing, make_change_inverse",560,1.68
16,"tabu_inverse_complete, local_search, make_change_swap",568,3.89
16,"tabu_inverse_complete, local_search, make_change_scramble",560,4.22
16,"tabu_inverse_complete, local_search, make_change_inverse",560,3.95
16,"tabu_inverse_complete, simulated_annealing, make_change_swap",560,3.98
16,"tabu_inverse_complete, simulated_annealing, make_change_scramble",560,4.24
16,"tabu_inverse_complete, simulated_annealing, make_change_inverse",560,3.98
16,"tabu_scramble, local_search, make_change_swap",560,4.02
16,"tabu_scramble, local_search, make_change_scramble",560,4.34
16,"tabu_scramble, local_search, make_change_inverse",560,4.06
16,"tabu_scramble, simulated_annealing, make_change_swap",560,4.06
16,"tabu_scramble, simulated_annealing, make_change_scramble",560,4.37
16,"tabu_scramble, simulated_annealing, make_change_inverse",560,4.14
16,"tabu_scramble_continuous, local_search, make_change_swap",560,6.15
16,"tabu_scramble_continuous, local_search, make_change_scramble",560,6.25
16,"tabu_scramble_continuous, local_search, make_change_inverse",560,5.88
16,"tabu_scramble_continuous, simulated_annealing, make_change_swap",560,5.92
16,"tabu_scramble_continuous, simulated_annealing, make_change_scramble",560,6.24
16,"tabu_scramble_continuous, simulated_annealing, make_change_inverse",560,5.82
17,"tabu_swap_neighbors, local_search, make_change_swap",667,1.82
17,"tabu_swap_neighbors, local_search, make_change_scramble",667,2.15
17,"tabu_swap_neighbors, local_search, make_change_inverse",667,1.86
17,"tabu_swap_neighbors, simulated_annealing, make_change_swap",667,1.87
17,"tabu_swap_neighbors, simulated_annealing, make_change_scramble",667,2.19
17,"tabu_swap_neighbors, simulated_annealing, make_change_inverse",667,1.9
17,"tabu_inverse, local_search, make_change_swap",667,1.83
17,"tabu_inverse, local_search, make_change_scramble",667,2.22
17,"tabu_inverse, local_search, make_change_inverse",667,1.89
